id,name,displayName,displayNameEn,template,subTemplate,theme,bundleId,category,targetApp,difficulty,description
153,"travel-log","旅行記録","Travel Log","lifestyle","log","neon-cyber","com.massapp.travellog","Lifestyle","Wanderlog ($4.99/mo)",2,"旅行先・費用・思い出を記録"
154,"garden-log","園芸日記","Garden Log","lifestyle","log","pastel-dream","com.massapp.gardenlog","Lifestyle","Garden apps ($3-8/mo)",2,"植物の成長を記録する園芸日記"
155,"fishing-log","釣り記録","Fishing Log","lifestyle","log","mint-fresh","com.massapp.fishinglog","Sports","Fishing logs ($2-5)",2,"釣果・場所・天気を記録"
156,"guitar-practice-log","ギター練習記録","Guitar Practice Log","lifestyle","log","coral-reef","com.massapp.guitarpracticelog","Music","Music practice apps ($2-5)",2,"ギター練習の時間・曲目を記録"
157,"packing-list","持ち物チェックリスト","Packing Checklist","lifestyle","log","warm-orange","com.massapp.packinglist","Utility","PackPoint ($2.99)",1,"旅行・出張の持ち物リストを管理"
158,"recipe-note","レシピノート","Recipe Notes","lifestyle","log","monochrome","com.massapp.recipenote","Food & Drink","Paprika ($4.99)",2,"オリジナルレシピを保存・管理"
159,"skincare-log","スキンケア記録","Skincare Log","lifestyle","log","ocean-blue","com.massapp.skincarelog","Health","Skincare apps ($2-5)",2,"スキンケア製品と肌の状態を記録"
160,"game-log","ゲームプレイ記録","Game Log","lifestyle","log","forest-green","com.massapp.gamelog","Entertainment","Game trackers ($1-3)",2,"プレイしたゲームの感想・プレイ時間を記録"
161,"kakeibo","かんたん家計簿","Simple Budget","lifestyle","budget","sunset-purple","com.massapp.kakeibo","Finance","Zaim (¥440/mo)",2,"支出をカテゴリ別に記録する家計簿"
162,"weekly-budget","週間予算管理","Weekly Budget","lifestyle","budget","sakura-pink","com.massapp.weeklybudget","Finance","YNAB ($14.99/mo)",2,"週ごとの予算を設定して支出を管理"
163,"couple-budget","カップル家計簿","Couple Budget","lifestyle","budget","midnight-navy","com.massapp.couplebudget","Finance","Monarch ($14.99/mo)",2,"二人の支出を合算して管理する家計簿"
164,"travel-budget","旅行予算管理","Travel Budget","lifestyle","budget","earth-brown","com.massapp.travelbudget","Finance","TripIt Pro ($49/yr)",2,"旅行の予算と支出を管理"
165,"student-budget","学生家計簿","Student Budget","lifestyle","budget","neon-cyber","com.massapp.studentbudget","Finance","Budget apps ($2-5)",2,"仕送り・バイト代の収支を管理"
166,"envelope-budget","封筒予算管理","Envelope Budget","lifestyle","budget","pastel-dream","com.massapp.envelopebudget","Finance","Goodbudget ($7/mo)",2,"封筒式の予算管理で使いすぎ防止"
167,"side-hustle-tracker","副業収入管理","Side Hustle Tracker","lifestyle","budget","mint-fresh","com.massapp.sidehustletracker","Finance","Freelance trackers ($3-10)",2,"副業の収入と経費を管理"
168,"wedding-budget","結婚式予算管理","Wedding Budget","lifestyle","budget","coral-reef","com.massapp.weddingbudget","Finance","WeddingHappy ($4.99)",2,"結婚式の費用を項目別に管理"
169,"car-expense-tracker","車の維持費記録","Car Expense Tracker","lifestyle","budget","warm-orange","com.massapp.carexpensetracker","Finance","Car expense apps ($2-5)",2,"ガソリン代・車検・保険等の車の費用を記録"
170,"gift-budget","プレゼント予算","Gift Budget","lifestyle","budget","monochrome","com.massapp.giftbudget","Finance","WISHUPON ($1.99-14.99)",1,"誕生日・クリスマスのプレゼント予算を管理"
171,"kanji-quiz","漢字クイズ","Kanji Quiz","game","quiz","ocean-blue","com.massapp.kanjiquiz","Education","漢字検定アプリ (¥500-1000)",2,"読み書きの漢字力をテスト"
172,"yojijukugo-quiz","四字熟語クイズ","Yojijukugo Quiz","game","quiz","forest-green","com.massapp.yojijukugoquiz","Education","Yojijukugo apps (¥300-500)",1,"四字熟語の意味を当てるクイズ"
173,"kotowaza-quiz","ことわざクイズ","Proverb Quiz","game","quiz","sunset-purple","com.massapp.kotowazaquiz","Education","Kotowaza apps (¥100-300)",1,"日本語のことわざの意味を当てるクイズ"
174,"todofuken-quiz","都道府県クイズ","Prefecture Quiz","game","quiz","sakura-pink","com.massapp.todofukenquiz","Education","Prefecture quiz (¥100-300)",1,"47都道府県の県庁所在地・特産品をクイズ"
175,"flag-quiz","国旗クイズ","Flag Quiz","game","quiz","midnight-navy","com.massapp.flagquiz","Education","StudyGe ($4.99/mo)",1,"世界の国旗を当てるクイズ"
176,"capital-quiz","首都クイズ","Capital City Quiz","game","quiz","earth-brown","com.massapp.capitalquiz","Education","StudyGe ($4.99/mo)",1,"世界の首都を当てるクイズ"
177,"history-quiz","日本史クイズ","Japanese History Quiz","game","quiz","neon-cyber","com.massapp.historyquiz","Education","History quiz (¥300-500)",2,"日本史の重要人物・出来事をクイズ"
178,"world-history-quiz","世界史クイズ","World History Quiz","game","quiz","pastel-dream","com.massapp.worldhistoryquiz","Education","History quiz apps ($2-5)",2,"世界史の重要な出来事をクイズ"
179,"science-quiz","理科クイズ","Science Quiz","game","quiz","mint-fresh","com.massapp.sciencequiz","Education","Science quiz ($1-3)",2,"物理・化学・生物の基礎知識クイズ"
180,"english-vocab-quiz","英単語クイズ","English Vocabulary Quiz","game","quiz","coral-reef","com.massapp.englishvocabquiz","Education","mikan (¥600/mo)",2,"TOEIC/英検レベル別の英単語テスト"
181,"animal-quiz","動物クイズ","Animal Quiz","game","quiz","warm-orange","com.massapp.animalquiz","Education","Animal quiz ($1-2)",1,"動物の特徴から名前を当てるクイズ"
182,"music-quiz","音楽クイズ","Music Quiz","game","quiz","monochrome","com.massapp.musicquiz","Entertainment","Music trivia ($1-3)",2,"音楽の歴史・アーティストクイズ"
183,"food-quiz","食べ物クイズ","Food Quiz","game","quiz","ocean-blue","com.massapp.foodquiz","Education","Food quiz ($1-2)",1,"料理・食材の知識クイズ"
184,"sports-quiz","スポーツクイズ","Sports Quiz","game","quiz","forest-green","com.massapp.sportsquiz","Entertainment","Sports trivia ($1-3)",1,"スポーツの歴史・ルールクイズ"
185,"movie-quiz","映画クイズ","Movie Quiz","game","quiz","sunset-purple","com.massapp.moviequiz","Entertainment","Movie trivia ($1-3)",1,"名作映画の知識クイズ"
186,"station-name-quiz","駅名クイズ","Station Name Quiz","game","quiz","sakura-pink","com.massapp.stationnamequiz","Education","Station quiz (¥100-300)",1,"難読駅名の読み方を当てるクイズ"
187,"kanji-kentei-quiz","漢検対策クイズ","Kanji Kentei Quiz","game","quiz","midnight-navy","com.massapp.kanjikenteiquiz","Education","漢検アプリ (¥500-1000)",2,"漢字検定の級別対策問題"
188,"math-quiz","算数クイズ","Math Quiz","game","quiz","earth-brown","com.massapp.mathquiz","Education","Math quiz ($1-3)",1,"四則演算のスピードクイズ"
189,"general-knowledge-quiz","一般常識クイズ","General Knowledge Quiz","game","quiz","neon-cyber","com.massapp.generalknowledgequiz","Education","Trivia apps ($1-3)",1,"就活にも使える一般常識テスト"
190,"spi-quiz","SPI対策クイズ","SPI Test Prep","game","quiz","pastel-dream","com.massapp.spiquiz","Education","SPI apps (¥500-1000)",2,"就職活動のSPIテスト対策"
191,"toeic-quiz","TOEIC対策クイズ","TOEIC Quiz","game","quiz","mint-fresh","com.massapp.toeicquiz","Education","スタディサプリ (¥3,278/mo)",2,"TOEIC頻出問題のミニテスト"
192,"idiom-quiz","慣用句クイズ","Idiom Quiz","game","quiz","coral-reef","com.massapp.idiomquiz","Education","Japanese language apps (¥300)",1,"日本語の慣用句の意味を当てるクイズ"
193,"geography-quiz","地理クイズ","Geography Quiz","game","quiz","warm-orange","com.massapp.geographyquiz","Education","StudyGe ($4.99/mo)",1,"世界の地形・気候・文化をクイズ"
194,"anatomy-quiz","人体クイズ","Anatomy Quiz","game","quiz","monochrome","com.massapp.anatomyquiz","Education","Anatomy Atlas (¥3,000)",2,"人体の骨・筋肉・臓器の知識クイズ"
195,"driving-test-quiz","運転免許クイズ","Driving Test Quiz","game","quiz","ocean-blue","com.massapp.drivingtestquiz","Education","Driving test apps (¥300-500)",2,"運転免許学科試験の模擬問題"
196,"itsukei-quiz","一般教養クイズ","Liberal Arts Quiz","game","quiz","forest-green","com.massapp.itsukeiquiz","Education","Quiz apps (¥300)",1,"文学・芸術・哲学の教養クイズ"
197,"hyakunin-isshu-quiz","百人一首クイズ","Hyakunin Isshu Quiz","game","quiz","sunset-purple","com.massapp.hyakuninisshuquiz","Education","Hyakunin Isshu (¥300-600)",1,"百人一首の上の句から下の句を当てる"
198,"emoji-quiz","絵文字クイズ","Emoji Quiz","game","quiz","sakura-pink","com.massapp.emojiquiz","Entertainment","Emoji quiz ($0.99-2)",1,"絵文字の組み合わせから答えを推測"
199,"logo-quiz","ロゴクイズ","Logo Quiz","game","quiz","midnight-navy","com.massapp.logoquiz","Entertainment","Logo Quiz ($1-3)",1,"企業ロゴの名前を当てるクイズ"
200,"true-false-quiz","マルバツクイズ","True or False Quiz","game","quiz","earth-brown","com.massapp.truefalsequiz","Entertainment","Trivia apps ($1-2)",1,"豆知識の○×クイズ"
201,"sudoku","数独","Sudoku","game","puzzle","neon-cyber","com.massapp.sudoku","Games","Sudoku apps ($1-5)",2,"9×9マスの数字パズル"
202,"kakuro","カックロ","Kakuro","game","puzzle","pastel-dream","com.massapp.kakuro","Games","Kakuro apps ($1-3)",2,"足し算のクロスワードパズル"
203,"nonogram","お絵かきロジック","Nonogram","game","puzzle","mint-fresh","com.massapp.nonogram","Games","Nonogram apps ($1-3)",2,"数字のヒントから絵を完成させるパズル"
204,"word-search","単語探し","Word Search","game","puzzle","coral-reef","com.massapp.wordsearch","Games","Word search ($1-3)",1,"マス目から隠された単語を見つける"
205,"crossword-jp","クロスワード","Crossword Puzzle","game","puzzle","warm-orange","com.massapp.crosswordjp","Games","Crossword apps ($2-5)",2,"日本語のクロスワードパズル"
206,"number-puzzle-2048","2048パズル","2048 Puzzle","game","puzzle","monochrome","com.massapp.numberpuzzle2048","Games","2048 original ($0.99)",2,"数字を合わせて2048を目指すパズル"
207,"slide-puzzle","スライドパズル","Slide Puzzle","game","puzzle","ocean-blue","com.massapp.slidepuzzle","Games","Puzzle apps ($0.99-2)",1,"タイルをスライドして正しい順番に並べる"
208,"math-puzzle","数学パズル","Math Puzzle","game","puzzle","forest-green","com.massapp.mathpuzzle","Education","Math puzzle ($1-3)",2,"四則演算で答えを導く数学パズル"
209,"logic-puzzle","ロジックパズル","Logic Puzzle","game","puzzle","sunset-purple","com.massapp.logicpuzzle","Games","Logic puzzle ($2-5)",3,"論理的思考で解くパズル問題"
210,"color-puzzle","カラーパズル","Color Puzzle","game","puzzle","sakura-pink","com.massapp.colorpuzzle","Games","Color puzzle ($0.99-2)",1,"同じ色をつなげて消すパズル"
211,"anagram","アナグラム","Anagram","game","puzzle","midnight-navy","com.massapp.anagram","Games","Word games ($1-3)",1,"文字を並べ替えて単語を作る"
212,"connect-dots","一筆書きパズル","One Stroke Puzzle","game","puzzle","earth-brown","com.massapp.connectdots","Games","Line puzzle ($0.99-2)",2,"一筆で全てのドットをつなぐパズル"
213,"fill-puzzle","ブロック埋めパズル","Block Fill Puzzle","game","puzzle","neon-cyber","com.massapp.fillpuzzle","Games","Block puzzle ($0.99-2)",2,"ブロックをはめてマスを埋めるパズル"
214,"maze-puzzle","迷路","Maze Puzzle","game","puzzle","pastel-dream","com.massapp.mazepuzzle","Games","Maze apps ($0.99-2)",1,"ゴールを目指す迷路パズル"
215,"tower-of-hanoi","ハノイの塔","Tower of Hanoi","game","puzzle","mint-fresh","com.massapp.towerofhanoi","Games","Classic puzzle ($0.99)",1,"円盤を正しい順で移動するパズル"
216,"memory-match","神経衰弱","Memory Match","game","memory","coral-reef","com.massapp.memorymatch","Games","Memory games ($1-3)",1,"カードをめくって同じ絵柄を探す神経衰弱"
217,"sequence-memory","記憶力チャレンジ","Sequence Memory","game","memory","warm-orange","com.massapp.sequencememory","Games","Elevate ($4.99/mo)",2,"光る順番を覚えて再現する記憶ゲーム"
218,"speed-math","暗算トレーニング","Mental Math Training","game","memory","monochrome","com.massapp.speedmath","Education","Brain training ($5/mo)",2,"制限時間内に暗算問題を解くトレーニング"
219,"soroban-training","そろばんトレーニング","Soroban Training","game","memory","ocean-blue","com.massapp.sorobantraining","Education","そろばん apps (¥300-500)",2,"そろばん式暗算のトレーニング"
220,"reaction-time","反射神経テスト","Reaction Time Test","game","memory","forest-green","com.massapp.reactiontime","Games","Reaction games ($0.99-2)",1,"反応速度を測定するテスト"
221,"color-match","色判別ゲーム","Color Match Game","game","memory","sunset-purple","com.massapp.colormatch","Games","Brain games ($1-3)",1,"文字の色と意味が一致するか判定するゲーム"
222,"number-memory","数字記憶","Number Memory","game","memory","sakura-pink","com.massapp.numbermemory","Games","Lumosity ($11.99/mo)",2,"表示された数字を記憶して入力するゲーム"
223,"word-memory","単語記憶ゲーム","Word Memory Game","game","memory","midnight-navy","com.massapp.wordmemory","Education","Peak ($4.99/mo)",2,"表示された単語を記憶して選ぶゲーム"
224,"pattern-recognition","パターン認識","Pattern Recognition","game","memory","earth-brown","com.massapp.patternrecognition","Games","Brain training ($3-5/mo)",2,"パターンの法則を見つけるトレーニング"
225,"typing-speed","タイピング速度","Typing Speed Test","game","memory","neon-cyber","com.massapp.typingspeed","Education","TapTyping ($3.99)",1,"タイピング速度を測定・トレーニング"
226,"visual-memory","視覚記憶テスト","Visual Memory Test","game","memory","pastel-dream","com.massapp.visualmemory","Games","Brain games ($3-5/mo)",2,"一瞬表示された画像の位置を記憶するテスト"
227,"attention-training","集中力トレーニング","Attention Training","game","memory","mint-fresh","com.massapp.attentiontraining","Games","CogniFit ($19.99/mo)",2,"注意力と集中力を鍛えるミニゲーム集"
228,"omikuji","おみくじ","Omikuji Fortune","game","fortune","coral-reef","com.massapp.omikuji","Entertainment","おみくじアプリ (¥100-300)",1,"毎日のおみくじで運勢をチェック"
229,"horoscope-daily","今日の星座占い","Daily Horoscope","game","fortune","warm-orange","com.massapp.horoscopedaily","Entertainment","Co-Star ($9)",1,"12星座の毎日の運勢を占う"
230,"blood-type-fortune","血液型占い","Blood Type Fortune","game","fortune","monochrome","com.massapp.bloodtypefortune","Entertainment","Blood type apps (¥100-300)",1,"血液型別の今日の運勢と相性"
231,"tarot-reading","タロット占い","Tarot Reading","game","fortune","ocean-blue","com.massapp.tarotreading","Entertainment","Nebula ($8-10/week)",2,"タロットカードで運勢を占う"
232,"seimei-handan","姓名判断","Name Fortune Telling","game","fortune","forest-green","com.massapp.seimeihandan","Entertainment","姓名判断アプリ (¥300-500)",2,"名前の画数から運勢を占う"
233,"kyusei-kigaku","九星気学","Nine Star Ki","game","fortune","sunset-purple","com.massapp.kyuseikigaku","Entertainment","九星気学アプリ (¥300-500)",2,"九星気学による方位・運勢占い"
234,"fusui-guide","風水ガイド","Feng Shui Guide","game","fortune","sakura-pink","com.massapp.fusuiguide","Lifestyle","風水アプリ (¥300-500)",1,"風水の基本と開運インテリア配置"
235,"dream-fortune","夢占い","Dream Fortune","game","fortune","midnight-navy","com.massapp.dreamfortune","Entertainment","Dream interpretation ($1-3)",1,"夢の内容から運勢を占う"
236,"love-compatibility","恋愛相性占い","Love Compatibility","game","fortune","earth-brown","com.massapp.lovecompatibility","Entertainment","Compatibility apps ($2-5)",1,"二人の名前・誕生日から相性を診断"
237,"today-lucky-color","今日のラッキーカラー","Lucky Color Today","game","fortune","neon-cyber","com.massapp.todayluckycolor","Entertainment","Fortune apps (¥100-300)",1,"誕生日から今日のラッキーカラーを診断"
238,"palm-reading","手相占い","Palm Reading","game","fortune","pastel-dream","com.massapp.palmreading","Entertainment","Palm reading ($2-5)",1,"手相の見方と運勢を解説"
239,"numerology","数秘術占い","Numerology","game","fortune","mint-fresh","com.massapp.numerology","Entertainment","Numerology apps ($2-5)",1,"誕生日から運命数を計算して占う"
240,"animal-fortune","動物占い","Animal Fortune","game","fortune","coral-reef","com.massapp.animalfortune","Entertainment","動物占いアプリ (¥100-300)",1,"生年月日から動物タイプと性格を診断"
241,"fortune-cookie","フォーチュンクッキー","Fortune Cookie","game","fortune","warm-orange","com.massapp.fortunecookie","Entertainment","Fortune cookie ($0.99)",1,"フォーチュンクッキーを割って運勢を見る"
242,"personality-test","性格診断","Personality Test","game","fortune","monochrome","com.massapp.personalitytest","Entertainment","Personality apps ($2-5)",1,"MBTI風の性格診断テスト"
243,"password-generator","パスワード生成","Password Generator","utility","generator","ocean-blue","com.massapp.passwordgenerator","Utility","1Password ($35.88/yr)",1,"安全なパスワードをランダム生成"
244,"random-number","乱数ジェネレーター","Random Number Generator","utility","generator","forest-green","com.massapp.randomnumber","Utility","Random generators ($0.99-2)",1,"範囲を指定してランダムな数を生成"
245,"team-divider","チーム分け","Team Divider","utility","generator","sunset-purple","com.massapp.teamdivider","Utility","Team picker apps ($1-2)",1,"メンバーをランダムにチーム分け"
246,"lottery-picker","くじ引きアプリ","Lottery Picker","utility","generator","sakura-pink","com.massapp.lotterypicker","Entertainment","Lottery apps ($0.99-2)",1,"抽選・くじ引き・あみだくじ"
247,"baby-name-generator","赤ちゃん名前候補","Baby Name Generator","utility","generator","midnight-navy","com.massapp.babynamegenerator","Lifestyle","Baby name apps ($1-3)",1,"画数・読みから赤ちゃんの名前を提案"
248,"color-generator","カラー生成","Color Generator","utility","generator","earth-brown","com.massapp.colorgenerator","Utility","Color tools ($1-5)",1,"ランダムなカラーパレットを生成"
249,"meal-decider","今日のごはん決め","Meal Decider","utility","generator","neon-cyber","com.massapp.mealdecider","Food & Drink","Meal roulette ($0.99-2)",1,"今日のメニューをランダムに決定"
250,"roulette-app","ルーレット","Roulette Wheel","utility","generator","pastel-dream","com.massapp.rouletteapp","Entertainment","Roulette apps ($0.99-2)",1,"項目を入力してルーレットで決定"
251,"yes-no-decider","YES/NO決定機","Yes or No Decider","utility","generator","mint-fresh","com.massapp.yesnodecider","Utility","Decision apps ($0.99)",1,"迷った時のYES/NOランダム決定"
252,"qr-generator","QRコード生成","QR Code Generator","utility","generator","coral-reef","com.massapp.qrgenerator","Utility","QR generators ($1-3)",1,"テキスト・URL・連絡先のQRコード生成"
253,"nickname-generator","ニックネーム生成","Nickname Generator","utility","generator","warm-orange","com.massapp.nicknamegenerator","Entertainment","Name generators ($0.99-2)",1,"ゲーム・SNS用のニックネームを生成"
254,"excuse-generator","言い訳ジェネレーター","Excuse Generator","utility","generator","monochrome","com.massapp.excusegenerator","Entertainment","Joke apps ($0.99)",1,"ユーモアのある言い訳をランダム生成"
255,"truth-or-dare","トゥルースオアデア","Truth or Dare","utility","generator","ocean-blue","com.massapp.truthordare","Entertainment","Party game apps ($1-3)",1,"パーティーゲーム「真実か挑戦か」"
256,"would-you-rather","究極の選択","Would You Rather","utility","generator","forest-green","com.massapp.wouldyourather","Entertainment","WYR apps ($1-2)",1,"二択の究極の選択ゲーム"
257,"affirmation-generator","アファメーション","Daily Affirmations","utility","generator","sunset-purple","com.massapp.affirmationgenerator","Health","Believe ($2.99/mo)",1,"毎日のポジティブなアファメーションを表示"
258,"yoga-poses","ヨガポーズ集","Yoga Poses","utility","reference","sakura-pink","com.massapp.yogaposes","Health","Down Dog ($9.99/mo)",1,"ヨガの基本ポーズを解説・図解"
259,"push-up-counter","腕立て伏せカウンター","Push-Up Counter","utility","counter","midnight-navy","com.massapp.pushupcounter","Health","Push-up apps ($1-3)",1,"腕立て伏せの回数をカウント・記録"
260,"squat-counter","スクワットカウンター","Squat Counter","utility","counter","earth-brown","com.massapp.squatcounter","Health","Fitness counters ($1-3)",1,"スクワットの回数をカウント・記録"
261,"sit-up-counter","腹筋カウンター","Sit-Up Counter","utility","counter","neon-cyber","com.massapp.situpcounter","Health","Fitness counters ($1-3)",1,"腹筋の回数をカウント・記録"
262,"body-measurement","ボディサイズ記録","Body Measurement Log","lifestyle","tracker","pastel-dream","com.massapp.bodymeasurement","Health","Body tracker apps ($2-5)",2,"ウエスト・ヒップ等のサイズを記録"
263,"headache-diary","頭痛ダイアリー","Headache Diary","lifestyle","log","mint-fresh","com.massapp.headachediary","Health","Migraine apps ($3-5)",2,"頭痛の頻度・強度・トリガーを記録"
264,"allergy-log","アレルギー記録","Allergy Log","lifestyle","log","coral-reef","com.massapp.allergylog","Health","Allergy trackers ($2-5)",2,"アレルギー症状と原因食品を記録"
265,"eye-exercise","目の体操","Eye Exercise","utility","timer","warm-orange","com.massapp.eyeexercise","Health","Eye care apps ($1-3)",1,"20-20-20ルールの目の休憩リマインダー"
266,"posture-reminder","姿勢リマインダー","Posture Reminder","utility","timer","monochrome","com.massapp.posturereminder","Health","Posture apps ($2-5)",1,"定期的に姿勢チェックをリマインド"
267,"breathing-exercise","呼吸エクササイズ","Breathing Exercise","utility","timer","ocean-blue","com.massapp.breathingexercise","Health","Breathe apps ($2-5)",1,"4-7-8呼吸法・ボックス呼吸のガイド"
268,"hydration-reminder","水分補給リマインダー","Hydration Reminder","utility","timer","forest-green","com.massapp.hydrationreminder","Health","Water reminder ($1-3)",1,"定期的に水分補給をリマインド"
269,"macro-calculator","マクロ計算機","Macro Calculator","utility","calculator","sunset-purple","com.massapp.macrocalculator","Health","MyFitnessPal ($19.99/mo)",2,"たんぱく質・脂質・炭水化物のPFCバランスを計算"
270,"one-rep-max-calc","1RM計算機","1RM Calculator","utility","calculator","sakura-pink","com.massapp.onerepmaxcalc","Health","Strength apps ($2-5)",1,"重量と回数から1RM（最大挙上重量）を計算"
271,"pace-calculator","ペース計算機","Pace Calculator","utility","calculator","midnight-navy","com.massapp.pacecalculator","Health","Running apps ($3-5)",1,"ランニングのペース・タイム・距離を計算"
272,"ideal-weight-calc","適正体重計算","Ideal Weight Calculator","utility","calculator","earth-brown","com.massapp.idealweightcalc","Health","Health calculators ($1-3)",1,"身長・年齢から適正体重を計算"
273,"waist-hip-ratio","WHR計算機","Waist-Hip Ratio Calculator","utility","calculator","neon-cyber","com.massapp.waisthipratio","Health","Health calculators ($1-3)",1,"ウエスト・ヒップ比で健康リスクを判定"
274,"target-heart-rate","目標心拍数計算","Target Heart Rate","utility","calculator","pastel-dream","com.massapp.targetheartrate","Health","Heart rate apps ($2-5)",1,"年齢から運動時の目標心拍数ゾーンを計算"
275,"vo2max-calculator","VO2max推定","VO2max Estimator","utility","calculator","mint-fresh","com.massapp.vo2maxcalculator","Health","Fitness calculators ($2-5)",2,"心拍数データからVO2maxを推定"
276,"tdee-calculator","TDEE計算機","TDEE Calculator","utility","calculator","coral-reef","com.massapp.tdeecalculator","Health","Diet calculators ($2-5)",1,"1日の総消費カロリー(TDEE)を計算"
277,"sleep-debt-calc","睡眠負債計算","Sleep Debt Calculator","utility","calculator","warm-orange","com.massapp.sleepdebtcalc","Health","Sleep apps ($3-5)",1,"理想と実際の睡眠時間の差を計算"
278,"metronome","メトロノーム","Metronome","utility","timer","monochrome","com.massapp.metronome","Music","Pro Metronome ($4.99)",1,"BPM設定可能な正確なメトロノーム"
279,"guitar-tuner","ギターチューナー","Guitar Tuner","utility","sound","ocean-blue","com.massapp.guitartuner","Music","Guitar Tuna ($7.99/mo)",2,"ギターの音を合わせるチューナー"
280,"ukulele-tuner","ウクレレチューナー","Ukulele Tuner","utility","sound","forest-green","com.massapp.ukuleletuner","Music","Tuner apps ($1-3)",2,"ウクレレ専用チューナー"
281,"chord-finder","コード検索","Chord Finder","utility","reference","sunset-purple","com.massapp.chordfinder","Music","Guitar chord apps ($3-5)",1,"ギター・ピアノのコード表を検索"
282,"scale-reference","スケール辞典","Scale Reference","utility","reference","sakura-pink","com.massapp.scalereference","Music","Music theory ($3-5)",1,"音楽のスケール（音階）辞典"
283,"bpm-counter","BPMカウンター","BPM Counter","utility","counter","midnight-navy","com.massapp.bpmcounter","Music","BPM apps ($0.99-2)",1,"タップしてBPM（テンポ）を計測"
284,"pitch-pipe","ピッチパイプ","Pitch Pipe","utility","sound","earth-brown","com.massapp.pitchpipe","Music","Pitch pipe ($0.99-2)",1,"基準音を出すピッチパイプ"
285,"music-interval-trainer","音程トレーニング","Interval Trainer","game","quiz","neon-cyber","com.massapp.musicintervaltrainer","Music","EarMaster ($5-10/mo)",2,"音程を聞き分ける耳トレーニング"
286,"rhythm-trainer","リズムトレーニング","Rhythm Trainer","game","quiz","pastel-dream","com.massapp.rhythmtrainer","Music","Rhythm apps ($3-5)",2,"リズムパターンを聞いて再現するトレーニング"
287,"sight-reading-trainer","初見読譜トレーニング","Sight Reading Trainer","game","quiz","mint-fresh","com.massapp.sightreadingtrainer","Music","Sight reading ($3-5)",2,"楽譜を読んで音符を当てるトレーニング"
288,"music-note-quiz","音符クイズ","Music Note Quiz","game","quiz","coral-reef","com.massapp.musicnotequiz","Music","Music quiz ($1-3)",1,"音符・記号の名前を当てるクイズ"
289,"piano-practice-log","ピアノ練習記録","Piano Practice Log","lifestyle","log","warm-orange","com.massapp.pianopracticelog","Music","Practice journal ($2-5)",2,"ピアノの練習時間と曲目を記録"
290,"practice-timer","練習タイマー","Practice Timer","utility","timer","monochrome","com.massapp.practicetimer","Music","Practice timer ($1-3)",1,"楽器練習用のインターバルタイマー"
291,"key-signature-ref","調号辞典","Key Signature Reference","utility","reference","ocean-blue","com.massapp.keysignatureref","Music","Music theory ($2-5)",1,"調号と対応するスケール・コードの辞典"
292,"decibel-meter","騒音計","Decibel Meter","utility","counter","forest-green","com.massapp.decibelmeter","Utility","dB Meter ($1-3)",2,"周囲の音量をデシベルで計測"
293,"character-counter","文字数カウンター","Character Counter","utility","counter","sunset-purple","com.massapp.charactercounter","Utility","Text tools ($0.99-2)",1,"テキストの文字数・単語数をカウント"
294,"word-counter","単語カウンター","Word Counter","utility","counter","sakura-pink","com.massapp.wordcounter","Utility","Text tools ($0.99-2)",1,"英文の単語数と読了時間を計算"
295,"text-to-speech","テキスト読み上げ","Text to Speech","utility","sound","midnight-navy","com.massapp.texttospeech","Utility","TTS apps ($2-5)",2,"テキストを音声で読み上げ"
296,"simple-notepad","シンプルメモ帳","Simple Notepad","lifestyle","log","earth-brown","com.massapp.simplenotepad","Utility","Notepad apps ($1-3)",1,"すぐ書けるシンプルなメモ帳"
297,"markdown-preview","Markdownプレビュー","Markdown Preview","utility","reference","neon-cyber","com.massapp.markdownpreview","Utility","iA Writer ($29.99)",2,"Markdownテキストをリアルタイムプレビュー"
298,"regex-tester","正規表現テスター","Regex Tester","utility","reference","pastel-dream","com.massapp.regextester","Utility","Dev tools ($2-5)",2,"正規表現をテスト・マッチ結果を表示"
299,"json-formatter","JSONフォーマッター","JSON Formatter","utility","reference","mint-fresh","com.massapp.jsonformatter","Utility","Dev tools ($1-3)",2,"JSONデータを整形・バリデーション"
300,"base64-encoder","Base64エンコーダー","Base64 Encoder","utility","converter","coral-reef","com.massapp.base64encoder","Utility","Dev tools ($1-3)",1,"テキスト・画像のBase64エンコード/デコード"
301,"url-encoder","URLエンコーダー","URL Encoder","utility","converter","warm-orange","com.massapp.urlencoder","Utility","Dev tools ($1-3)",1,"URLのエンコード/デコード変換"
302,"hash-generator","ハッシュ生成","Hash Generator","utility","generator","monochrome","com.massapp.hashgenerator","Utility","Security tools ($1-3)",1,"MD5/SHA-1/SHA-256等のハッシュを生成"
303,"lorem-ipsum","ダミーテキスト生成","Lorem Ipsum Generator","utility","generator","ocean-blue","com.massapp.loremipsum","Utility","Dev tools ($0.99)",1,"デザイン用のダミーテキストを生成"
304,"kanji-to-hiragana","漢字→ひらがな変換","Kanji to Hiragana","utility","converter","forest-green","com.massapp.kanjitohiragana","Education","Japanese text tools (¥100-300)",2,"漢字テキストにふりがなを付ける"
305,"fullwidth-halfwidth","全角半角変換","Fullwidth Halfwidth Converter","utility","converter","sunset-purple","com.massapp.fullwidthhalfwidth","Utility","Japanese text tools (¥100-200)",1,"全角⇔半角のテキスト変換"
